time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
132,0.132,19.4733,196.335,194.341,-1.99342,-11.3681,-0.000701237,7.26042e-05,0.018048,0.000841568
133,0.133,19.6715,200.152,198.255,-1.8963,-11.1698,-0.000689007,7.18629e-05,0.0178893,0.000866342
134,0.134,19.8735,203.771,201.974,-1.79731,-10.9679,-0.000676547,7.11122e-05,0.0177265,0.000880357
135,0.135,20.079,207.19,205.493,-1.69654,-10.7624,-0.00066387,7.03577e-05,0.0175597,0.0008834
136,0.136,20.2878,210.404,208.81,-1.5941,-10.5536,-0.000650989,6.96045e-05,0.0173889,0.000876565
137,0.137,20.4997,213.41,211.92,-1.49008,-10.3417,-0.000637916,6.88561e-05,0.0172141,0.000862129
138,0.138,20.7145,216.206,214.821,-1.3846,-10.1269,-0.000624663,6.81151e-05,0.0170351,0.000843314
139,0.139,20.932,218.788,217.51,-1.27774,-9.90937,-0.000611245,6.73826e-05,0.0168519,0.000823896
140,0.14,21.152,221.154,219.985,-1.16963,-9.6894,-0.000597675,6.66585e-05,0.0166644,0.000807649
141,0.141,21.3743,223.303,222.242,-1.06036,-9.46717,-0.000583965,6.59415e-05,0.0164725,0.000797708
142,0.142,21.5985,225.23,224.28,-0.950048,-9.2429,-0.000570129,6.5229e-05,0.0162763,0.000795994
143,0.143,21.8246,226.936,226.097,-0.838797,-9.01682,-0.000556181,6.45177e-05,0.0160759,0.000802923
144,0.144,22.0523,228.417,227.691,-0.726717,-8.78914,-0.000542135,6.38034e-05,0.0158713,0.000817559
145,0.145,22.2814,229.673,229.06,-0.613921,-8.5601,-0.000528004,6.30817e-05,0.0156628,0.000838124
146,0.146,22.5116,230.703,230.202,-0.500518,-8.32991,-0.000513803,6.23473e-05,0.0154505,0.000862636
147,0.147,22.7427,231.505,231.118,-0.386622,-8.0988,-0.000499545,6.15953e-05,0.0152345,0.000889448
148,0.148,22.9745,232.078,231.806,-0.272344,-7.86701,-0.000485245,6.08206e-05,0.015015,0.000917527
149,0.149,23.2068,232.422,232.264,-0.157797,-7.63476,-0.000470917,6.00187e-05,0.014792,0.000946484
150,0.15,23.4393,232.537,232.494,-0.0430946,-7.40228,-0.000456574,5.91856e-05,0.0145655,0.000976396
151,0.151,23.6718,232.422,232.494,0.0716503,-7.1698,-0.000442232,5.83185e-05,0.0143355,0.0010075
152,0.152,23.904,232.078,232.265,0.186325,-6.93755,-0.000427903,5.74155e-05,0.0141019,0.00103988
153,0.153,24.1358,231.505,231.806,0.300815,-6.70576,-0.000413603,5.64764e-05,0.0138646,0.00107321
154,0.154,24.367,230.704,231.119,0.415008,-6.47466,-0.000399345,5.55024e-05,0.0136238,0.00110665
155,0.155,24.5972,229.675,230.204,0.528792,-6.24447,-0.000385144,5.44963e-05,0.0133795,0.00113893
156,0.156,24.8262,228.419,229.061,0.642054,-6.01542,-0.000371013,5.34623e-05,0.0131317,0.00116844
157,0.157,25.0539,226.938,227.692,0.754683,-5.78774,-0.000356967,5.24057e-05,0.0128806,0.00119351
158,0.158,25.28,225.232,226.099,0.866566,-5.56166,-0.000343019,5.13331e-05,0.0126263,0.00121268
159,0.159,25.5043,223.305,224.282,0.977595,-5.33739,-0.000329183,5.02512e-05,0.0123691,0.00122484
160,0.16,25.7265,221.157,222.245,1.08766,-5.11516,-0.000315473,4.91673e-05,0.012109,0.00122951
161,0.161,25.9465,218.791,219.987,1.19665,-4.89518,-0.000301902,4.8088e-05,0.0118462,0.0012269
162,0.162,26.164,216.209,217.513,1.30446,-4.67768,-0.000288483,4.70195e-05,0.0115806,0.00121794
